Intersul (A)
- 120 Central - Prado Júnior | C BRS1
- 129 Rodoviária - Praia de Botafogo (via Túnel Santa Bárbara) | C
- 411 Usina - Prado Júnior | C BRS2
- 412 Usina - Praia de Botafogo (via Túnel Santa Bárbara) | C
- 420 Vila Isabel - Praia de Botafogo (via Túnel Santa Bárbara) | C
- 421 Vila Isabel - Prado Júnior | C BRS2
- 423 Grajaú - Real Grandeza | C
- 425 Grajaú - Real Grandeza (via Túnel Santa Bárbara) | C
- 467 Maracanã - Praia de Botafogo | C
- 475 Méier - Prado Júnior | C BRS2
- sn006 Castelo - Santa Teresa | C
010 010 Fátima - Central | C BRS1
010 011 Fátima - Rodoviária Novo Rio | C
107 107 Central - Urca | BRS1
110 110 Rodoviária - Jardim de Alah (via Túnel Rebouças) | C BRS1
110 111 Rodoviária - Jardim de Alah (via Elevado/Túnel Rebouças) | C BRS1
119 119 Praça XV - Copacabana | BRS1
121 121 Central - Copacabana | C BRS1
123 123 Praça Mauá - Jardim de Alah | C BRS1
125 124 Jardim Botanico (Horto) - Central (via Copacabana) | BRS1
125 125 Central - General Osório (via Aterro do Flamengo) | C BRS1
126 126 Rodoviária - Copacabana (via Túnel Santa Bárbara) | C BRS1
127 127 Rodoviária - Copacabana | C BRS1
128 128 Rodoviária - Gávea (via Copacabana) | BRS1
132 132 Central - Leblon (via Aterro do Flamengo) | C BRS1
136 136 Rodoviária - Copacabana (via Leopoldina) | C BRS1
154 154 Central - Ipanema | BRS1
154 155 Central - Ipanema (via Túnel Santa Bárbara) | BRS1
157 157 Central - Gávea (via Lagoa e Leblon) | BRS1
158 158 Central - Gávea | C BRS1
170 170 Rodoviária - Gávea | C BRS1
172 172 Rodoviária - Leblon (via Jóquei) | C BRS1
173 173 Rodoviária - Leblon (via Túnel Santa Bárbara) | C BRS1
176 176 Central - São Conrado | BRS1
176 186 Central - São Conrado (via Túnel Santa Bárbara) |
177 169 Praça Mauá - São Conrado (via Linha Amarela) |
177 177 Praça Mauá - São Conrado | C BRS1
178 178 São Conrado - Rodoviária (via Central) | BRS1
178 181 São Conrado - Rodoviária (via Linha Amarela) |
180 180 Central - Cosme Velho (via Largo do Machado) | BRS1
184 183 Central - Laranjeiras (via Túnel Santa Bárbara) |
184 184 Central - Laranjeiras | BRS1
201 201 Santa Alexandrina - Praça XV | C
201 202 Rio Comprido - Praça XV | C BRS1
206 006 Silvestre - Castelo | C
206 007 Silvestre - Central | C
209 209 Estácio - Caju (via São Cristóvão) | C BRS1
210 210 Caju - Praça XV | C
214 014 Paula Matos - Castelo | C
217 217 Andaraí - Carioca | C BRS1
217 602 Andaraí - Saens Peña | C
220 220 Praça Mauá - Usina (via Haddock Lobo) | BRS1
220 603 Usina - Praça Saens Peña (via São Miguel) |
220 604 Usina - Praça Saens Peña (via Conde de Bonfim) |
222 222 Vila Isabel - Praça Mauá (via Hospital dos Servidores) | BRS1
222 605 São Francisco Xavier - Vila Isabel |
226 226 Grajaú - Carioca | C BRS1
226 608 Grajaú - Praça Saens Peña |
229 229 Usina - Castelo | C
401 204 Estácio - Rio Comprido (via Santa Alexandrina) | C
401 401 Rio Comprido - São Salvador | BRS2
406 133 Rodoviária Novo Rio - Largo do Machado (via Estácio) | BRS1
407 507 Largo do Machado - Silvestre |
409 409 Saens Peña - Jardim Botanico (Horto) |
409 416 Saens Peña - Jardim Botanico (Horto) (via Túnel Rebouças) |
410 410 Praça Saens Peña - Gávea |
413 413 Muda - Jardim de Alah (via Aterro do Flamengo) | BRS2
413 626 Praça Saens Peña - Muda |
415 415 Usina - Leblon | C BRS2
422 422 Grajaú - Cosme Velho | BRS2
426 426 Usina - Jardim de Alah (via Túnel Santa Bárbara) | BRS2
432 432 Vila Isabel - Leblon (via Túnel Santa Bárbara) | BRS2
433 433 Vila Isabel - Leblon (via Copacabana) | BRS2
434 434 Grajaú - Leblon | BRS2
434 436 Grajaú - Leblon (via Túnel Rebouças) | BRS2
435 435 Grajaú - Gávea (via Túnel Santa Bárbara) | BRS2
438 438 Vila Isabel - Leblon (via Jóquei) | BRS2
438 439 Vila Isabel - Leblon (via Túnel Rebouças/Jóquei) |
460 460 São Cristóvão - Leblon (via Túnel Rebouças) | C BRS2
461 461 São Cristóvão - Ipanema (via Túnel Rebouças) | C BRS2
462 462 São Cristóvão - Copacabana (via Túnel Rebouças) | C BRS2
463 440 Caju - Copacabana (via Túnel Rebouças/Túnel Velho) | C BRS2
463 463 São Cristóvão - Copacabana (via Túnel Rebouças/Túnel Velho) | C BRS2
464 464 Maracanã - Leblon | BRS2
472 472 Triagem - Leme (via Praça XV) | BRS2
473 441 Caju - Lido (via São Cristóvão) | C BRS2
473 473 São Januário - Lido (via Túnel Rebouças) | BRS2
474 474 Jacaré - Jardim de Alah | BRS2
476 476 Méier - Leblon (via Túnel Rebouças) | C BRS2
503 503 Botafogo - Alto Leblon (via Copacabana) | C BRS2
511 511 Urca - Leblon (via Jóquei) | C BRS2
511 513 Botafogo - Urca |
512 512 Urca - Leblon (via Copacabana) | C BRS2
521 521 São Conrado - Botafogo (via Copacabana) | C BRS2
522 522 São Conrado - Botafogo (via Jóquei) | C BRS2
523 523 Alvorada - Leme (via Copacabana) | C BRS3
524 524 Botafogo - Barra da Tijuca (via Humaitá) | C
546 546 São Conrado - Leblon (via Estrada da Gávea) | C BRS2
569 569 Largo do Machado - Leblon (via Jóquei) | C BRS2
570 570 Largo do Machado - Leblon (via Copacabana) | C BRS2
571 161 Lapa - Leblon (via Jóquei) | C BRS1
572 162 Lapa - Leblon (via Copacabana) | C BRS1
573 573 Glória - Leblon (via Jóquei) | C BRS2
574 574 Glória - Leblon (via Copacabana) | C BRS2
583 583 Cosme Velho - Leblon (via Jóquei) | C BRS2
584 580 Largo do Machado - Cosme Velho |
584 584 Cosme Velho - Leblon (via Copacabana) | C BRS2
591 590 Copacabana - Leme | C BRS2
591 591 São Conrado - Leme (via Copacabana) | C BRS2
592 592 São Conrado - Leme (via Rocinha) | C BRS2
593 593 Leme - São Conrado (via Rocinha) | C BRS2
2011 190 Rodoviária - Leme | BRS1
2014 2014 Gávea - Praça Mauá | BRS1
2015 2015 Castelo - Leblon | C BRS1
2017 2017 Rodoviária - Leblon | C BRS1
E08 448 Maracaí - São Conrado | C
s011 442 Maré - Copacabana (via Praça Mauá) | C BRS2
s012 443 Maré - Leblon (via Central) | C BRS2
s028 444 Maré - Copacabana (via Túnel Santa Bárbara) | C BRS2
s04 445 Morro do Alemão - Copacabana (via Túnel Santa Bárbara) | C BRS2
sE003 2203 Grajaú - Castelo | C BRS1

===

Internorte (B)
- 454 Méier - Prado Júnior | C BRS3
- 458 Norte Shopping - Praia de Botafogo (via Túnel Santa Bárbara) | C
- 459 Abolição - Praia de Botafogo (via Túnel Santa Bárbara) | C
- 480 Olaria - Prado Júnior | C BRS3
- 481 Penha - Praia de Botafogo (via Santa Bárbara) | C BRS3
- sPB261 Osvaldo Cruz - Castelo |
- sP404 Caju - Leblon (via Avenida Brasil) | C
- sV639 Saens Peña - Jardim América (via Shopping Via Brasil) |
- sVB685 Irajá - Méier (via Shopping Via Brasil) |
- sVC905 Bonsucesso - Irajá (via Shopping Via Brasil) |
- sV920 Pavuna - Bonsucesso (via Shopping Via Brasil) |
- sV942 Penha - Pavuna (via Shopping Via Brasil) |
- sV956 Penha (Iapi) - Invernada (via Penha/Cidade Universitária) | C
232 232 Praça XV - Lins (via Rua Aquidabã) | BRS4
232 sPa232 Engenho Novo - Praça XV |
232 sPB232 Lins - Praça XV |
238 238 Água Santa - Praça XV | C BRS4
239 239 Água Santa - Castelo (via 24 de Maio) | C
247 247 Camarista Méier - Passeio | C BRS4
249 249 Água Santa - Carioca | C BRS4
254 254 Praça XV - Madureira |
261 261 Marechal Hermes - Castelo | C BRS4
261 sPa261 Marechal Hermes - São Cristóvão | C
277 277 Rocha Miranda - Praça XV (via São Cristóvão) | C BRS4
292 292 Praça XV - Engenho da Rainha | BRS4
292 402 Engenho da Rainha - Gávea | BRS3
296 296 Castelo - Irajá | BRS4
298 298 Castelo - Acari | BRS4
298 sPa298 Cavalcanti - Castelo |
298 sPB298 Conjunto dos Correios - Castelo |
298 sPC298 Turiaçu - Castelo |
310 310 Engenho da Rainha - Praça XV | C BRS4
311 311 Engenheiro Leal - Praça XV (via Cavalcanti) | C BRS4
311 356 Del Castilho - Praça XV | C BRS4
312 312 Olaria - Praça Mauá (via São Cristóvão) | C BRS4
312 sP312 Ramos - Praça Mauá (via São Cristóvão) | C
313 313 Penha (Grotão) - Praça da República (via Vila Cruzeiro) | C BRS4
320 320 Praça XV - Parque União (via Aeroporto) | C BRS4
322 322 Ribeira - Castelo (via Cocotá) | C BRS4
322 sP322 Portuguesa - Castelo |
322 sV322 Ribeira - Castelo (via Cidade Universitária) |
322 327 Ribeira - Castelo (via Linha Vermelha) | C BRS4
324 324 Ribeira - Castelo | C BRS4
324 sVa324 Ribeira - Castelo (via AIRJ) |
324 sVB324 Ribeira - Castelo (via Cidade Universitária) |
324 325 Ribeira - Castelo (via Linha Vermelha) | C BRS4
324 sP326 Portuguesa - Castelo |
326 326 Bancários - Castelo | C BRS4
326 sVa326 Bancários - Castelo (via AIRJ) |
326 sVB326 Bancários - Castelo (via Cidade Universitária) |
326 329 Bancários - Castelo (via Praia da Rosa) | C BRS4
328 328 Bananal - Castelo | C BRS4
328 sV328 Bananal - Castelo (via Cidade Universitária) |
330 330 Praça XV - Parque União | C BRS4
334 334 Cordovil - Praça Tiradentes (via Praça das Nações) | C BRS4
335 335 Cordovil - Tiradentes | r C BRS4
335 sr335 Cordovil - Praça Tiradentes (via Brás de Pina) | r C
335 sV335 Brás de Pina - Praça Tiradentes | r
342 342 Castelo - Jardim América | BRS4
342 sPa342 Praça Catolé do Rocha - Castelo |
342 sPB342 Vigário Geral (Praça Catolé do Rocha) - Castelo |
342 sPC342 Vigário Geral (Rua Maba) - Castelo |
342 sr342 Castelo - Jardim América | r
344 344 Rocha Miranda - Praça XV | C BRS4
345 307 Vila Kosmos - Praça da República (via Lucas) | C
349 349 Rocha Miranda - Praça XV | C BRS4
349 sPa349 Parque Jardim Vista Alegre - Praça XV |
349 sPB349 Praça Honório Gurgel - Praça XV |
349 sr349 Rocha Miranda - Praça XV | r C
350 350 Irajá - Passeio (via Praça das Nações) | C BRS4
350 sP350 Irajá - Passeio | r
350 sr350 Irajá - Passeio | r
351 351 Vaz Lobo - Passeio | C BRS4
355 355 Praça Tiradentes - Madureira |
355 sPa355 Vaz Lobo - Praça Tiradentes |
355 sPB355 Vicente de Carvalho - Praça Tiradentes |
355 sPC355 Vila Kosmos - Praça Tiradentes |
